ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County
95965,875,32,1045,13417,325,1,1,43,0,15739,76,0.48,40482.0,15.3,58.0,15.1,4.7,14.7,21891,294985.89,0.4679,0.4248442367601246,0.6007347712728135,0.2081061863000711,0.07528556593977155,0.22214185833453878,29.148912792863584,4.3266414614264574,413.71079975369736,Butte 
92398,32,2,66,929,13,0,0,3,0,1045,5,0.48,52259.0,19.2,69.7,9.1,0.0,5.5,1424,164729.14,0.3289,0.5309597523219814,0.5608011444921316,0.3547925608011445,0.04179566563467492,0.07443820224719101,,,,
90222,103,43,847,19220,343,4,2,51,1,20614,98,0.48,63843.0,72.4,1.0,0.7,25.1,9.7,33729,555427.78,0.4145,0.47385736106215487,0.7151308304891922,0.2668941979522184,0.11549759135236752,0.16515971685206116,59.09465994029888,7.246322913980113,644.1949894653792,Los Angeles
93616,38,6,106,1714,30,0,0,3,0,1897,9,0.47,47500.0,83.3,11.1,4.0,0.0,11.3,2379,334763.89,0.4259,0.47005988023952094,0.8430813124108416,0.1369472182596291,0.0074850299401197605,0.3194619588062211,51.0810004025339,6.81540562457293,275.7250541,Fresno 
93247,389,31,887,11339,190,0,4,30,0,12870,61,0.47,44205.0,83.5,15.1,0.8,0.1,6.0,17182,269740.28,0.4728,0.4245354569586651,0.7518326479527981,0.16806722689075632,0.08210087220326129,0.27329083572138724,43.014286754062304,6.079487183898893,422.25688293992675,Tulare 
95919,77,1,58,901,14,0,0,4,0,1055,5,0.47,83371.0,2.6,96.8,0.0,0.6,10.0,1168,306830.08,0.2954,0.05671077504725898,0.72,0.027586206896551724,0.05671077504725898,0.13184931506849315,,,,
93622,198,18,612,7066,109,0,0,20,0,8023,38,0.47,38453.0,94.1,5.6,0.1,0.1,5.1,9483,291054.54,0.4411,0.5772508336420896,0.6928446771378709,0.2537521815008726,0.1344942571322712,0.3149847094801223,50.918059048007585,6.241488183154745,207.69402903489564,Fresno 
95351,525,67,2058,31553,604,2,2,95,0,34906,164,0.47,50649.0,73.5,16.6,4.8,2.9,7.8,49149,342935.77,0.4349,0.48992789712331825,0.8435504469987228,0.08649070526465162,0.06615624767709805,0.2164624183006536,49.435989967827226,6.069707660257892,675.7723648402125,Stanislaus 
96080,1782,48,1783,19638,554,0,0,64,0,23869,112,0.47,52489.0,18.7,74.0,1.2,1.3,18.2,31469,305101.61,0.5605,0.35624636356080125,0.693730407523511,0.18009404388714734,0.08403291496966171,0.16543225848183965,27.036964672104396,4.537797096388157,381.1729698571325,Tehama 
95358,911,60,1940,22873,436,0,10,63,0,26293,123,0.47,65442.0,61.1,30.0,4.0,1.9,12.1,31938,397144.25,0.4274,0.3902352102637206,0.9378755243169709,0.020972678834599252,0.03397481587075315,0.14917268255286525,45.0845380877301,6.510932095027509,586.0567637902566,Stanislaus 
