ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports,HomeownerShare,ChargersPer1000EV,Diesel_share,Gasoline_share,Gasoline_Hybrid_share,PHEV_share,Electric_share,PortsPer10kPeople
95209,363,237,1455,28622,1042,0,3,158,0,31880,395,1.24,88809.0,36.4,25.0,23.2,8.8,20.0,45150,475404.89,0.3938,0.287379084469495,0.8997715380647063,0.0957329206279018,0.0328280904867088,0.0922582240910215,27.1744331475312,4.43736273219976,906.1912586358454,San Joaquin,2.0,4.0,4.0,0.0,0.712620915530505,5.063291139240507,0.011386449184441656,0.8978042659974906,0.03268506900878294,0.004956085319949812,0.007434127979924717,0.8859357696567
95466,122,10,49,1203,61,0,0,8,0,1453,18,1.24,43750.0,25.3,66.8,0.0,0.6,29.2,1042,,0.5365,0.5419354838709678,0.8175182481751825,0.0218978102189781,0.0677419354838709,0.4095796676441838,11.8333103150362,3.0971231597063604,129.5465834,Mendocino ,4.0,7.0,6.0,1.0,0.4580645161290322,222.2222222222222,0.08396421197522368,0.8279421885753613,0.04198210598761184,0.0055058499655884375,0.006882312456985547,67.17850287907869
95977,134,5,62,1182,57,0,0,13,0,1453,18,1.24,68103.0,10.2,72.4,1.6,2.0,15.2,1662,461620.89,0.3307,0.1395348837209302,0.9191176470588236,0.0,0.0,0.0788206979542719,,,,,0.0,0.0,0.0,0.0,0.8604651162790697,0.0,0.09222298692360634,0.8134893324156917,0.03922918100481762,0.008947006194081212,0.0034411562284927736,0.0
93907,843,128,1088,17479,611,0,3,123,0,20275,251,1.24,88540.0,53.8,30.0,8.2,1.7,22.1,24667,763491.79,0.405,0.2988682408830516,0.798693507532329,0.1146513798160245,0.0153695682548553,0.0979702078899983,27.802010839862582,5.255455331488705,1103.964352623177,Monterey ,6.0,16.0,10.0,6.0,0.7011317591169484,23.904382470119522,0.04157829839704069,0.8620961775585697,0.030135635018495685,0.006066584463625154,0.006313193588162762,6.48639883244821
90650,595,471,2560,68513,2050,13,30,440,0,74672,924,1.24,83217.0,69.0,10.9,13.3,4.4,20.1,103427,659810.34,0.3873,0.3323340796114294,0.7887791212031849,0.1931583603656738,0.0488369445603916,0.0890626686421303,43.50736427147053,6.849932115376015,1877.451712393776,Los Angeles,7.0,25.0,25.0,0.0,0.6676659203885706,7.575757575757576,0.007968180844225412,0.917519284336833,0.027453396185986714,0.0058924362545532466,0.00630758517248768,2.4171637966875186
96120,65,6,49,826,22,0,0,6,0,974,12,1.23,75500.0,10.1,51.4,0.9,0.0,29.4,1061,479742.36,0.4397,0.1165644171779141,0.949685534591195,0.0157232704402515,0.0368098159509202,0.1347785108388313,13.6151637006617,4.05875078241292,70.20935363,Alpine ,2.0,4.0,4.0,0.0,0.8834355828220859,166.66666666666666,0.06673511293634497,0.8480492813141683,0.022587268993839837,0.006160164271047228,0.006160164271047228,37.70028275212064
93041,225,84,595,13838,522,4,2,101,0,15371,189,1.23,67334.0,58.4,32.9,2.5,2.5,19.7,23210,550322.97,0.3738,0.5612735007547688,0.6957709669755286,0.3032786885245901,0.0463839714560175,0.1209833187006145,32.060674789692335,5.611097358844279,598.7795635734858,Ventura ,6.0,11.0,11.0,0.0,0.4387264992452312,31.746031746031743,0.014637954589811984,0.9002667360614144,0.033960054648363804,0.006570815171426713,0.005464836380196474,4.739336492890995
95321,299,40,229,4031,101,0,1,18,0,4719,58,1.23,59664.0,7.3,83.2,1.8,0.0,28.5,3922,398606.04,0.4624,0.1177446102819237,0.9421152285637004,0.0297538544766026,0.0525152017689331,0.0726670066292707,,,,,8.0,19.0,5.0,14.0,0.8822553897180763,137.9310344827586,0.06336088154269973,0.8542063996609451,0.021402839584657767,0.003814367450731087,0.008476372112735749,48.44467108618052
92234,504,267,1736,36608,1170,0,7,231,0,40523,498,1.23,56671.0,58.9,30.6,6.3,2.0,24.1,51836,474182.78,0.4869,0.3747277845647209,0.6468846549948507,0.2560504634397528,0.0557709672279173,0.1877365047494015,17.368694981002225,2.8817234841884365,837.8811587090553,Riverside ,3.0,12.0,8.0,4.0,0.6252722154352791,6.024096385542169,0.012437381240283296,0.903388199294228,0.028872492164943364,0.0057004664017965105,0.00658885077610246,2.3149934408519175
91746,260,133,924,21972,634,7,2,156,0,24088,296,1.23,79042.0,83.1,3.2,10.5,2.4,14.0,29525,651925.73,0.4003,0.2342071336484744,0.9204200055263884,0.0627245095330201,0.0456954591032803,0.0940651403652221,48.24279047954351,7.971416105041959,1220.8429705575943,Los Angeles,36.0,67.0,67.0,0.0,0.7657928663515257,121.62162162162163,0.010793756227167054,0.9121554300896713,0.026320159415476586,0.006476253736300232,0.005521421454666224,22.692633361558002
