ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports
92617,18,270,70,3725,416,39,2,193,0,4733,502,10.61,57372.0,22.8,32.1,30.2,5.1,83.4,17960,773693.86,0.5822,0.7214076246334311,0.3023463687150838,0.6976536312849162,0.2001466275659824,0.3286219081272085,23.3587996487493,6.33049429367174,1214.10835,Orange ,86.0,148.0,148.0,0.0
95138,126,1158,289,12032,916,17,5,410,0,14953,1585,10.6,172434.0,24.0,20.3,47.6,4.2,53.4,19827,1646818.83,0.4368,0.134775669444937,0.7857390700902152,0.0980222068008327,0.0280191523319737,0.0589007880379874,13.0384794131661,4.367138708369526,1515.4852614169731,Santa Clara,3.0,6.0,6.0,0.0
94957,54,152,46,1510,97,0,0,49,0,1908,201,10.54,250001.0,4.0,86.2,5.8,1.6,83.2,1949,3802986.55,0.4901,0.1713859910581222,0.9621409921671018,0.0378590078328981,0.0312965722801788,0.0236018471010774,,,,,0.0,0.0,0.0,0.0
92603,133,1115,197,12133,939,27,6,432,0,14982,1574,10.51,175012.0,9.6,47.5,37.0,0.6,76.8,19128,1731696.47,0.4399,0.4079371757116813,0.8313192973713717,0.166189111747851,0.0403870424905342,0.063049853372434,5.551781940248844,3.381859344918142,562.7551925472325,Orange ,49.0,85.0,85.0,0.0
94158,22,268,29,2626,293,1,2,76,0,3317,345,10.4,161391.0,15.2,32.4,40.6,4.1,68.6,10658,1265065.01,0.503,0.6840687797804019,0.0221026330962906,0.9778973669037094,0.3737310959187901,0.106526275848985,21.3587293148749,6.55759510042725,1644.995655,San Francisco,49.0,106.0,106.0,0.0
94618,138,752,114,8482,1277,4,2,406,0,11175,1162,10.4,172454.0,9.2,66.6,12.8,3.7,84.1,17324,1657147.26,0.4538,0.3598326359832636,0.68284625158831,0.31715374841169,0.092455122148738,0.0572998889083786,7.576085724015479,4.12048531367667,816.4034172471385,Alameda ,0.0,0.0,0.0,0.0
95014,314,3199,538,33142,3749,66,2,1041,0,42051,4306,10.24,198602.0,3.1,22.7,69.1,1.1,81.0,62185,2558524.15,0.4474,0.4049246974036773,0.6859522148587374,0.3119986048133938,0.0428254642890141,0.0496529631607047,9.564847074245186,4.482359428414408,1237.4986155393017,Santa Clara,89.0,262.0,214.0,48.0
95135,123,1144,256,12967,1269,10,3,489,0,16261,1643,10.1,178977.0,9.7,26.2,57.7,2.2,65.9,22010,1553671.65,0.4326,0.144686969023657,0.9070390206579954,0.0929609793420045,0.0352895046399163,0.0244057918222384,5.467225760434829,1.9585452501585985,571.4986860304529,Santa Clara,1.0,2.0,2.0,0.0
95032,362,1566,474,17576,1324,27,2,622,0,21953,2215,10.09,163082.0,9.2,66.4,18.2,0.9,72.4,27149,2323508.46,0.4996,0.3320681265206812,0.7031976203755345,0.290574456218628,0.0343552311435523,0.0339865392481314,7.140926542038689,4.087224346791476,1113.7720595043515,Santa Clara,3.0,27.0,7.0,20.0
94043,191,1738,525,17730,1730,21,2,505,0,22442,2264,10.09,159898.0,16.7,40.1,33.7,4.3,69.5,33052,1471024.62,0.4445,0.5439720008935885,0.4605575527368921,0.4849080919758529,0.0660510834760592,0.0397758255074219,15.051985405549686,5.579721928000352,1726.5670621644906,Santa Clara,9.0,27.0,14.0,12.0
94025,348,2357,768,23943,2380,11,1,704,0,30512,3072,10.07,183750.0,17.8,56.2,16.1,2.7,71.5,41826,2485795.47,0.5049,0.390986769570011,0.6558987029030265,0.3400247066090179,0.0532662624035281,0.0570107858243451,12.122741437264356,4.840530045655073,1244.4898484679686,San Mateo,221.0,449.0,420.0,29.0
94920,212,779,141,8237,700,8,1,253,0,10331,1040,10.07,203717.0,6.1,81.5,7.2,0.2,79.2,12803,3100980.96,0.5241,0.2875621890547263,0.7379010331702012,0.2620989668297988,0.0077611940298507,0.0210583998747455,5.469690063636293,3.728551704222813,930.3515486529536,Marin ,12.0,22.0,22.0,0.0
94611,331,1841,370,21526,2897,15,8,914,0,27902,2770,9.93,147080.0,5.4,61.9,16.5,6.7,75.4,40292,1485463.06,0.4998,0.4086562942008486,0.5798969072164949,0.4195661512027491,0.1108910891089108,0.0563633189515425,8.444653928453306,3.872727824363798,619.1283821106159,Alameda ,3.0,6.0,6.0,0.0
94705,132,604,108,6912,1081,2,2,300,0,9141,906,9.91,143533.0,7.2,74.3,9.6,2.9,78.9,14150,1948639.36,0.5018,0.4298440979955457,0.567554784802144,0.4324452151978559,0.0896008223402432,0.0864895825875277,7.887384932984911,3.7619118189453,614.3479531190535,Alameda ,7.0,11.0,11.0,0.0
91108,81,722,154,8370,638,18,2,274,0,10259,1014,9.88,170223.0,6.9,24.2,66.1,0.3,80.6,12755,2301228.27,0.4533,0.1619945422971967,0.9754880694143166,0.0245119305856832,0.0062019350037211,0.0609172873382987,8.36656584261797,5.443882213456142,576.2550832578142,Los Angeles,0.0,0.0,0.0,0.0
94065,71,674,143,7455,656,9,0,213,0,9221,896,9.72,181975.0,5.7,40.4,44.6,0.3,80.1,11772,1649190.6,0.4375,0.3734939759036144,0.6659183673469388,0.3340816326530612,0.0376241809342633,0.0451070336391437,9.450865733887753,3.5519103003799373,805.5292420097664,San Mateo,43.0,83.0,83.0,0.0
92067,237,797,236,8657,443,6,0,227,0,10603,1030,9.71,216781.0,16.0,72.6,6.4,0.0,71.6,9060,3986838.09,0.4942,0.1079906385824139,0.9843789367598892,0.0095742000503905,0.0046807087930458,0.08178397521027,6.40492932954169,4.46778608290432,389.5052104,San Diego,1.0,2.0,2.0,0.0
